N,Byte Sieve Time (ms),Bit Sieve Time (ms)
16,0.17,0.14
64,0.16,0.16
256,0.16,0.14
1024,0.14,0.18
4096,0.15,0.37
16384,0.21,1.03
65536,0.26,1.77
262144,0.18,1.71
1048576,0.26,1.73
4194304,0.66,3.35
16777216,2.25,8.37
67108864,8.98,29.72
268435456,37.98,109.49
1073741824,130.96,351.85
4294967296,678.15,1474.30
17179869184,6823.40,6996.24
68719476736,54861.13,35053.54
