N,Byte Sieve Time (ms),Bit Sieve Time (ms)
16,0.23,0.18
64,0.19,0.18
256,0.20,0.18
1024,0.18,0.22
4096,0.18,0.36
16384,0.20,1.01
65536,0.27,1.79
262144,0.24,1.94
1048576,0.39,1.75
4194304,0.97,3.38
16777216,3.31,8.26
67108864,12.21,29.38
268435456,45.34,99.28
1073741824,157.21,354.26
4294967296,695.81,1476.19
