N,Byte Sieve Time (ms),Bit Sieve Time (ms)
16,0.15,0.14
64,0.13,0.13
256,0.13,0.14
1024,0.13,0.17
4096,0.13,0.32
16384,0.13,0.52
65536,0.14,0.52
262144,0.16,0.52
1048576,0.27,0.92
4194304,0.75,2.20
16777216,2.81,7.75
67108864,12.53,29.68
268435456,60.33,93.88
1073741824,273.30,397.65
4294967296,1786.27,1788.57
