N,Byte Sieve Time (ms),Bit Sieve Time (ms)
16,0.14,0.13
64,0.14,0.13
256,0.14,0.14
1024,0.14,0.17
4096,0.15,0.32
16384,0.14,0.94
65536,0.17,1.76
262144,0.22,1.74
1048576,0.26,1.73
4194304,0.67,3.38
16777216,2.29,8.40
67108864,8.99,29.61
268435456,38.00,115.14
1073741824,145.43,351.19
4294967296,674.51,1473.26
