N,Byte Sieve Time (ms),Bit Sieve Time (ms)
16,0.16,0.14
64,0.14,0.13
256,0.14,0.14
1024,0.14,0.17
4096,0.14,0.33
16384,0.14,0.91
65536,0.14,1.71
262144,0.17,1.71
1048576,0.25,1.77
4194304,0.73,3.43
16777216,2.31,8.44
67108864,8.98,29.63
268435456,37.88,91.79
