N,Byte Sieve Time (ms),Bit Sieve Time (ms)
16,0.15,0.13
64,0.13,0.14
256,0.17,0.14
1024,0.14,0.17
4096,0.14,0.35
16384,0.14,0.92
65536,0.14,1.71
262144,0.17,1.71
1048576,0.26,1.72
4194304,0.66,3.37
16777216,2.28,8.42
67108864,8.98,29.68
268435456,37.94,91.63
1073741824,131.10,351.36
4294967296,671.73,1463.25
