N,Byte Sieve Time (ms),Bit Sieve Time (ms)
16,0.14,0.13
64,0.13,0.13
256,0.14,0.14
1024,0.14,0.17
4096,0.14,0.32
16384,0.15,0.91
65536,0.15,1.69
262144,0.21,1.69
1048576,0.34,1.69
4194304,0.91,3.32
16777216,3.18,8.21
67108864,12.22,29.27
268435456,45.46,93.88
1073741824,153.14,352.07
4294967296,688.89,1469.84
17179869184,6900.34,6988.36
68719476736,55569.51,35006.61
