N,Byte Sieve Time (ms),Bit Sieve Time (ms)
16,0.09,0.10
64,0.10,0.10
256,0.10,0.11
1024,0.11,0.15
4096,0.15,0.29
16384,0.20,0.89
65536,0.20,3.24
262144,0.22,12.70
1048576,0.34,12.70
4194304,0.68,12.85
16777216,2.21,25.79
67108864,8.00,61.65
268435456,23.75,172.79
1073741824,95.74,663.66
4294967296,394.99,2634.33
